factset_entity_id,entity_proper_name,iso_country,primary_sic_name,company_id,industry,top_segments,is_single_source,FF_SALES,FF_NET_MGN,FF_DEBT_EQ,FF_ROIC,FF_CURR_RATIO,CURRENCY,financial_date,revenue_percent,relationship_start,relationship_source,source_label,ground_truth_label
062H1C-E,Chilisin Electronics Corp.,TW,,22434726.0,Ferrite,"['Technology', 'Unclassifiable']",False,4128.211,9.25657627480766,43.1829823492039,13.272101173909,1.74517249642893,TWD,2018-12-31 00:00:00,,2015-10-19 00:00:00,factset_revere_relationship,historical,1
0BM0K8-E,"Dongguan Eontec Co., Ltd.",CN,,194531266.0,"Basic Plastic Sheets, Films and Shapes","['Unclassifiable', 'Industrial and Materials']",False,287.83528618,1.06879490726379,18.7029036943334,4.73423909162853,2.22826867661228,CNY,2018-12-31 00:00:00,,2018-10-24 00:00:00,factset_revere_relationship,historical,0
001Y70-E,"Taiwan Semiconductor Manufacturing Co., Ltd.",TW,,9918.0,Technology,['Technology'],False,9393.88214848079,34.4954814477889,10.7676966773844,21.0372067955953,2.79459826795348,USD,2018-12-31 00:00:00,,2005-07-20 00:00:00,factset_revere_relationship,historical,1
00CG00-E,Thruvision Group Plc,GB,,194509951.0,Hardware,"['Technology', 'Industrial and Materials']",False,,,,,,,,,2017-10-24 00:00:00,factset_revere_relationship,historical,1
0031TP-E,"FormFactor Beaverton, Inc.",US,,228073.0,Back End,['Technology'],False,110.858,-44.3811001461329,292.18453703202,,1.09271071470289,EUR,2018-12-31 00:00:00,,2015-05-04 00:00:00,factset_revere_relationship,historical,1
07BQT5-E,Avigilon Corp.,CA,,194529511.0,Technology,['Technology'],False,120.733,11.2181425128175,29.085276373716,9.49791821386446,1.88714847517994,USD,2017-12-31 00:00:00,,2018-05-04 00:00:00,factset_revere_relationship,historical,0
09SMBB-E,"Shenzhen Fastprint Circuit Tech Co., Ltd.",CN,,194521618.0,Semiconductor Capital Equipment,"['Technology', 'Unclassifiable']",False,863.25115734,4.44929219884873,44.7865647802161,7.09005137658161,1.46766636005429,CNY,2018-12-31 00:00:00,,2017-06-05 00:00:00,factset_revere_relationship,historical,1
00301S-E,"PDF Solutions, Inc.",US,,1398845.0,IC-Level,['Technology'],False,19.725,-15.787072243346,0.0,-3.87579960970758,8.05105489553462,USD,2018-12-31 00:00:00,,2018-03-27 00:00:00,factset_revere_relationship,historical,0
000DXK-E,"Cohu, Inc.",US,,2409.0,Technology,['Technology'],False,170.637,-33.3298170971126,64.5917659356733,-5.44710991188499,3.02162040986618,USD,2018-12-31 00:00:00,,2018-03-21 00:00:00,factset_revere_relationship,historical,0
05HHKX-E,Smiths Group Plc,GB,,19875.0,Luggage and Parcel,"['Technology', 'Industrial and Materials', 'Unclassifiable', 'Healthcare']",False,4.68,-37.5213675213675,,-792.841163310962,0.709754433833561,ILS,2016-12-31 00:00:00,,2012-09-05 00:00:00,factset_revere_relationship,historical,1
